Round,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
1,Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5505,7428
1,Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),13771,15082
1,Indian Institute  of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3905,4590
1,Indian Institute  of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8646,10984
1,Indian Institute  of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,7869,11179
1,Indian Institute  of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),16307,18094
1,Indian Institute  of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4900,6465
1,Indian Institute  of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),12769,14776
1,Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,226,414
1,Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),1172,1579
1,Indian Institute  of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,3176,5055
1,Indian Institute  of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),6763,10746
1,Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1300,1880
1,Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),3647,4871
1,Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,516,1446
1,Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),1815,3372
1,Indian Institute  of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,9290,10995
1,Indian Institute  of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),18200,19316
1,Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2915,4099
1,Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7214,10726
1,Indian Institute  of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2022,2473
1,Indian Institute  of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),5048,6569
1,Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4523,5964
1,Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),12127,12738
1,Indian Institute  of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,971,1253
1,Indian Institute  of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),3514,3957
1,Indian Institute  of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2160,3301
1,Indian Institute  of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6302,9770
1,Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5472,6784
1,Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),12914,14116
1,Indian Institute  of Technology Kharagpur,"Mining Engineering  (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7429,9225
1,Indian Institute  of Technology Kharagpur,"Mining Engineering  (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),16049,17980
1,Indian Institute  of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7253,8545
1,Indian Institute  of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),15331,16849
1,Indian Institute  of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,2957,6553
1,Indian Institute  of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),14639,17245
1,Indian Institute  of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,685,852
1,Indian Institute  of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2214,2401
1,Indian Institute  of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6579,8172
1,Indian Institute  of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),14091,15546
1,Indian Institute  of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6015,7972
1,Indian Institute  of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),14833,15214
1,Indian Institute  of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4229,5493
1,Indian Institute  of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),10591,11541
1,Indian Institute  of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6571,7463
1,Indian Institute  of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),12882,14183
1,Indian Institute  of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1046,1771
1,Indian Institute  of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4738,5158
1,Indian Institute  of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,431,649
1,Indian Institute  of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),1709,1809
1,Indian Institute  of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1022,1981
1,Indian Institute  of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2840,4168
1,Indian Institute  of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1570,2050
1,Indian Institute  of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4056,4434
1,Indian Institute  of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3442,4662
1,Indian Institute  of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),10405,11350
1,Indian Institute  of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1822,3236
1,Indian Institute  of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4470,5748
1,Indian Institute  of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7495,8752
1,Indian Institute  of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),15890,15939
1,Indian Institute  of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5105,7736
1,Indian Institute  of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),13015,14717
1,Indian Institute  of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,660,951
