Round,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
3,Indian Institute  of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),589,757
3,Indian Institute  of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,215,270
3,Indian Institute  of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only (including Supernumerary),779,1071
3,Indian Institute  of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,597,1010
3,Indian Institute  of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),2267,3346
3,Indian Institute  of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,879,2172
3,Indian Institute  of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5326,5945
3,Indian Institute  of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2665,3184
3,Indian Institute  of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5730,7737
3,Indian Institute  of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3015,3468
3,Indian Institute  of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6714,6965
3,Indian Institute  of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3330,3932
3,Indian Institute  of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6590,7272
3,Indian Institute  of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,301,611
3,Indian Institute  of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1053,1468
